p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.78487077799019e-50,0.342907488054539,0.519,0.488,1.17754899644831e-45,0,PSAP
1.49938016611318e-107,0.342644273402532,0.73,0.677,4.66487157281132e-103,0,GNAQ
2.7487069521718e-28,0.342411614763469,0.174,0.136,8.55177706959689e-24,0,C9orf16
5.41405197843099e-26,0.342229840949951,0.341,0.309,1.68441985152945e-21,0,IL18
8.61981437595116e-43,0.341792399146197,0.507,0.471,2.68179664864593e-38,0,RAD51B
3.08132243378994e-20,0.341383827758606,0.228,0.199,9.58661035600725e-16,0,YPEL3
1.53983584844689e-14,0.341333778993751,0.332,0.325,4.79073729168796e-10,0,PHC2
1.83784496605785e-16,0.340499042140892,0.287,0.266,5.7179032583992e-12,0,RGS10
4.68586956500497e-25,0.340323089047477,0.143,0.11,1.45786773906435e-20,0,VSIG4
2.43917567154649e-53,0.339162190610822,0.587,0.555,7.58876334931545e-49,0,GAB2
2.97907935162235e-21,0.339015190547817,0.229,0.2,9.26851167876744e-17,0,ANOS1
4.99048577046073e-32,0.337888520248261,0.339,0.3,1.55263993290574e-27,0,ALPK1
7.97299740787689e-19,0.337453385603843,0.302,0.281,2.48055895353866e-14,0,PTPN2
5.96745270283378e-27,0.336402003002104,0.254,0.216,1.85659388490564e-22,0,AP2M1
1.19131653442513e-17,0.336035636202664,0.288,0.269,3.70642400190347e-13,0,CHSY1
3.83053304876798e-31,0.335733677780846,0.178,0.137,1.1917554421327e-26,0,ARHGDIG
1.80090519337946e-18,0.335649834540808,0.39,0.384,5.60297623764217e-14,0,GALNT2
5.37405056632886e-28,0.335179111681181,0.158,0.121,1.67197461219623e-23,0,AP2S1
8.05266340591498e-17,0.33505802077876,0.109,0.085,2.50534463884827e-12,0,C1QC
9.30757948042192e-11,0.334824063569877,0.159,0.14,2.89577412794887e-06,0,PPARG
2.77195290613303e-19,0.334739781339696,0.212,0.183,8.62409988156109e-15,0,LINC01094
8.5308108827207e-69,0.334600428741615,0.597,0.558,2.65410588183206e-64,0,DDX5
1.93633782589176e-24,0.332270058935678,0.218,0.183,6.02433424391444e-20,0,IL4R
2.80177703697713e-34,0.331663010102398,0.155,0.113,8.71688871744325e-30,0,LDHA
4.89350598848339e-108,0.331068405433072,0.755,0.693,1.52246758313695e-103,0,TCF12
5.42551023722602e-17,0.331003023042191,0.33,0.317,1.68798474500576e-12,0,SSH1
1.7073089358545e-16,0.33021215818175,0.35,0.341,5.31177956123052e-12,0,SPTLC2
1.04910824379316e-18,0.330151218205919,0.248,0.22,3.26398556808929e-14,0,LAT2
1.05421081618411e-15,0.330071195914178,0.331,0.32,3.27986069131201e-11,0,AC006978.2
7.08858963698001e-13,0.329744363351034,0.231,0.211,2.20540200785722e-08,0,RPS15
3.03118223425636e-20,0.329523659041383,0.324,0.304,9.43061416721839e-16,0,IFNGR2
8.05712644356788e-22,0.329505862818883,0.162,0.129,2.50673317912284e-17,0,LINC01091
2.57690593551458e-16,0.329279817730398,0.23,0.207,8.01726974657296e-12,0,ENO1
1.66014489272318e-27,0.328375728181175,0.467,0.454,5.16504279024036e-23,0,MTHFD1L
1.88655431528992e-25,0.327942634531416,0.363,0.338,5.86944778572999e-21,0,RREB1
1.1449061169203e-27,0.32781907363262,0.438,0.421,3.56203191096245e-23,0,MCF2L
