gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
AGAP3	-0.180858060571074	0.121359683528036	-0.205309024582989	0.113155380855687	TRUE
AGBL4	-0.626541848519985	6.38954576439246e-09	-0.678292347900431	5.27078505436614e-09	TRUE
AGFG1	0.00514745096586494	0.957912903906011	-0.00282657632288775	0.976264091071322	FALSE
AGO2	0.0314416000035978	0.826072379677877			
AGO3	0.168435337095887	0.0299729595031815	0.186919596181608	0.021110546396472	TRUE
AGO4	0.0552971059622547	0.479765420152837	0.054995690125325	0.50106115226315	TRUE
AGPAT3	-0.029579355076071	0.792095764362517	-0.00986975091381843	0.937659358491818	TRUE
AGPAT5	-0.112013351369254	0.303146752446134	-0.145512643938185	0.200216335689588	TRUE
AGPS	0.182588649224281	0.0276466941532455	0.163611348815098	0.0767407221124664	TRUE
AGTPBP1	-0.0939731347631178	0.277963389583867	-0.0882977826327301	0.382627927137186	TRUE
AHCTF1	-0.094775639467547	0.330758984465745	-0.120154469755711	0.258796061500674	TRUE
AHCYL1	-0.0955413252178277	0.3764367336867	-0.0562856259626888	0.634571094773489	TRUE
AHCYL2	0.141545735598202	0.118515370525974	0.163292200510479	0.0795186310670826	TRUE
AHI1	-0.353328277415217	7.52235398562974e-06	-0.372562254698115	3.17260186123566e-06	TRUE
AIDA	0.0399640007111816	0.746649790272035	0.0419765212297147	0.762816070844282	TRUE
AIG1	0.0125509621780574	0.887096467699741	0.0198615850273972	0.817201636362193	TRUE
AK5	-0.629231184516427	9.63139233264866e-06	-0.7399623803895	3.07480119136369e-06	TRUE
AK9	0.0458296480822949	0.756749203625182	0.00415699602886432	0.978365987973083	TRUE
AKAP10	0.141697763128371	0.0173762832644594	0.137583088670315	0.0281730414912507	TRUE
AKAP11	-0.135880451384833	0.117596509233501	-0.144489847386036	0.116330232275661	TRUE
AKAP13	0.085311922162583	0.0472939276380897	0.0782068591708587	0.082391707259298	TRUE
AKAP6	-0.442109449729824	4.88953174582905e-06	-0.495673806277385	2.80718359604775e-06	TRUE
AKAP7	0.118686256478406	0.315552464470503	0.133839030198468	0.255752057601924	TRUE
AKAP8L	-0.149488474175441	0.0842997003201281	-0.126152899219198	0.183113977354615	TRUE
AKAP9	-0.307565944375557	0.000152137172925564	-0.311372528330278	0.000194028942153159	TRUE
AKNA	0.0799194985076564	0.484378614043966	0.0608334948057902	0.634985055931106	TRUE
AKR1A1	0.106887468277648	0.432412786467147			
AKT3	0.0106843603983936	0.86041861790458	0.00236643727187602	0.968552347477669	TRUE
AL034397.3	0.376939961218008	0.00250269113528415	0.3877035338445	0.00514113845943294	TRUE
AL137145.2	0.000263150781357742	0.99875709989401	0.00817874275657014	0.95774129479223	TRUE
AL139125.1	0.0568315598588678	0.521228652880634	0.0148128468673211	0.874432415854687	TRUE
AL139260.1	0.0722529491220116	0.602144531726191			
AL158071.4	0.230063967938862	0.0659259425882351	0.191081361555957	0.155973007767461	TRUE
AL159163.1	0.0992767393766504	0.421948125177789	0.100794940783522	0.473042818676244	TRUE
AL162414.1	0.167909078348378	0.163492705014062	0.170234576655988	0.224514282955323	TRUE
AL365273.2	0.21543599748694	0.0105911890661509	0.251515329629603	0.0040145665953738	TRUE
AL390729.1	-0.0382502290113797	0.78989839590487	-0.0107573531112235	0.946176775350358	TRUE
AL445623.2	-0.143100077473985	0.307952027357076			
AL589740.1	-0.661703647591477	2.0451501277342e-05			
AL592183.1	0.000622578427541314	0.99690253935337	-0.00679277245617838	0.964988880369543	FALSE
AL669831.5	-0.316178214120626	0.0235340363750746	-0.360704255182169	0.0165000521805396	TRUE
ALCAM	-0.216014670530782	0.0255745522416956	-0.22037619290711	0.0349580333285895	TRUE
ALDH2	-0.097071176604051	0.456861667642826	-0.121764906865005	0.384260865528536	TRUE
ALG13	0.203345927610675	0.0052855801778878	0.212362983252195	0.00529921768535339	TRUE
ALMS1	-0.0997324260830906	0.424029684673139	-0.105869761922615	0.421904177522841	TRUE
ALOX12-AS1	-0.0772856033403758	0.488981484830777	-0.0957909538723497	0.418901640146046	TRUE
ALOX5	-0.0858397902240274	0.1669258741678	-0.0911496805170484	0.157057052246027	TRUE
ALPK1	0.135852290343133	0.0256178904078347	0.116184866212554	0.0826544774758709	TRUE
AMBRA1	0.0315856601723062	0.722612528000002	0.0302218887832636	0.746575891241107	TRUE
AMD1	0.102134383281222	0.319640985137131	0.0610786547769258	0.596841990423351	TRUE
AMN1	-0.0739315192883698	0.635847722892005			
AMPD3	-0.183372560308187	0.019293304451343	-0.17350404145038	0.0371829814092908	TRUE
ANAPC1	0.0848086099797098	0.423161027290081	0.0632909220018476	0.598171305405692	TRUE
ANAPC10	-0.0110071396520768	0.938429573594481	-0.037545342473746	0.80642870714856	TRUE
ANAPC16	0.0695695410622045	0.511574884962471	0.0559589539443625	0.631941580288893	TRUE
ANAPC4	0.0969054998695354	0.487050815279645			
ANAPC5	0.00836488827323591	0.948190200029844	-0.0103028646689858	0.942430773119187	FALSE
